channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
beta,3.18.0-0.2.pre,3.3.0 (build 3.3.0-174.3.beta),2023-12-14T18:15:31.252008Z,fed06b31d938f7620ea7417295b8d8d19cf7cf1d,39c6dc9bdd3ba2bc387e6e14b72fce5f46abfcae,8b43434a6666a4f8eb2de8ecf8be4f82
stable,3.16.4,3.2.3,2023-12-13T19:08:24.350992Z,2e9cb0aa71a386a91f73f7088d115c0d96654829,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
stable,3.16.3,3.2.3,2023-12-06T18:02:04.383556Z,b0366e0a3f089e15fd89c97604ab402fe26b724c,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
beta,3.18.0-0.1.pre,3.3.0 (build 3.3.0-174.2.beta),2023-12-05T19:22:55.890106Z,593a031efb1e54aef4d083fc810482c2877ba1d2,69f0e5550702bb81458a1987f3054085aeb8353d,8b43434a6666a4f8eb2de8ecf8be4f82
stable,3.16.2,3.2.2,2023-11-30T19:30:27.368924Z,9e1c857886f07d342cf106f2cd588bcd5e031bb2,cf7a9d0800f2a5da166dbe0eb9fb2476018269b1,f71c76320d35b65f1164dbaa6d95fe09
beta,3.17.0-0.0.pre,3.3.0 (build 3.3.0-91.0.dev),2023-11-29T23:04:36.479957Z,12b47270b7a705f4dc7fe7a899acc2f7b5fdb63b,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
stable,3.16.1,3.2.1,2023-11-27T22:32:05.344375Z,7f20e5d18ce4cb80c621533090a7c5113f5bdc52,22b600f240548c1cf6f5d3f9ae65a5c9e51bc443,f71c76320d35b65f1164dbaa6d95fe09
beta,3.17.0-0.0.pre,3.3.0 (build 3.3.0-91.0.dev),2023-11-15T22:51:48.012167Z,0b591f2c82e9f59276ed68c7d4cbd63196f7c865,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
stable,3.16.0,3.2.0,2023-11-15T21:09:09.164233Z,db7ef5bf9f59442b0e200a90587e8fa5e0c6336a,74d16627b940bb15e50891f82cad6c3e3465bd6d,f71c76320d35b65f1164dbaa6d95fe09
beta,3.16.0-0.5.pre,3.2.0 (build 3.2.0-210.4.beta),2023-11-08T18:10:36.261538Z,adc7dfe87ebc5ff6cb6ceb786efaa83058fdc1a1,ab14aba1d5564df418f0e87f6772916c80a9a00a,f71c76320d35b65f1164dbaa6d95fe09
beta,3.16.0-0.4.pre,3.2.0 (build 3.2.0-210.4.beta),2023-11-01T20:16:05.486466Z,379c3f4d37fb5870330e78a0863b2ed7cd643d7d,abdaabc6dc88e20dd0fe290a2d3dfcac03b2706f,f71c76320d35b65f1164dbaa6d95fe09
stable,3.13.9,3.1.5,2023-10-25T22:01:05.380724Z,d211f42860350d914a5ad8102f9ec32764dc6d06,0545f8705df301877d787107bac1a6e9fc9ee1ad,7dbbeeb8ef7b91338640dca3927636de
beta,3.16.0-0.3.pre,3.2.0 (build 3.2.0-210.3.beta),2023-10-20T17:02:47.162861Z,476aa717cd342d11e16439b71f4f4c9209c50712,91cde06da08323f25bd4bcc4a1832862f2b58c08,f71c76320d35b65f1164dbaa6d95fe09
stable,3.13.8,3.1.4,2023-10-18T18:33:55.600560Z,6c4930c4ac86fb286f30e31d0ec8bffbcbb9953e,767d8c75e898091b925519803830fc2721658d07,7dbbeeb8ef7b91338640dca3927636de
beta,3.16.0-0.2.pre,3.2.0 (build 3.2.0-210.2.beta),2023-10-12T17:56:41.542103Z,fe6553b689e4d2151b0f760ca06927fc284cc0a9,249cc9b86c45acb7e32b4097bc8a5059b91c888e,f71c76320d35b65f1164dbaa6d95fe09
stable,3.13.7,3.1.3,2023-10-11T19:45:14.137020Z,2f708eb8396e362e280fac22cf171c2cb467343c,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
beta,3.16.0-0.1.pre,3.2.0 (build 3.2.0-210.1.beta),2023-10-11T16:52:13.580774Z,f0abad66b249244cbdbb291cf6edfbba9937ffa0,7ccdde78a7d174dc0bf0be77102b205e844c7998,f105cf3d66970fb41bf76f12d9b38f6d
stable,3.13.6,3.1.3,2023-09-27T16:44:24.827942Z,ead455963c12b453cdb2358cad34969c76daf180,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
beta,3.15.0-15.2.pre,3.2.0 (build 3.2.0-134.1.beta),2023-09-21T19:59:58.890775Z,0d074ced6cd64f39f586aaa115b2e4c993d74cb7,453411bcf3961fef3e6caa57a04e7fc3e9faa037,fd89ca26d38c62af5c097a16d3418736
stable,3.13.5,3.1.2,2023-09-20T20:05:35.409446Z,12fccda598477eddd19f93040a1dba24f915b9be,bd986c5ed20a62dc34b7718c50abc782beae4c33,7dbbeeb8ef7b91338640dca3927636de
beta,3.15.0-15.1.pre,3.2.0 (build 3.2.0-134.1.beta),2023-09-15T17:00:54.507285Z,b2ec15bfa37e6ecdc1f68e7dc6960422648fc6d6,5c861944948efff4217b5f1fe1d04d23de39d54c,fd89ca26d38c62af5c097a16d3418736
stable,3.13.4,3.1.2,2023-09-13T20:12:13.313067Z,367f9ea16bfae1ca451b9cc27c1366870b187ae2,9064459a8b0dcd32877107f6002cc429a71659d1,7dbbeeb8ef7b91338640dca3927636de
stable,3.13.3,3.1.1,2023-09-13T19:53:41.927127Z,b0daa737b75b007b4777e5cc2bd42b1b18a6fd4f,17a711a7765a198264b20d8c4983f2f6f1271271,7dbbeeb8ef7b91338640dca3927636de
stable,3.13.3,3.1.1,2023-09-07T17:19:53.810487Z,2524052335ec76bb03e04ede244b071f1b86d190,b8d35810e91ab8fc39ba5e7a41bff6f697e8e3a8,7dbbeeb8ef7b91338640dca3927636de
